Serial No,ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
8007,319644,Ellisbridge,Ahmedabad,Harmony Resto Cafe,300,3.9,50,"Fast Food,Snacks,Beverages",Navrangpura,32
8008,320006,Begumpet,Hyderabad,Retro Junks,150,4.6,50,Snacks,Somajiguda & Khairtabad,67
8009,320656,Memnagar,Ahmedabad,Kaapi & More,200,2.9,80,South Indian,Vastrapur,57
8010,321086,Maninagar,Ahmedabad,Bread Meal - Fast Food Corner,150,3.9,100,"Pizzas,Italian-American,Indian,Snacks,Combo,Fast Food",Maninagar,46
8011,321121,Baguihati,Kolkata,Amma'S Pure Veg,250,3.6,20,"Indian,Rajasthani,Punjabi,Thalis,Desserts,Beverages",Lake Town,95
8012,321807,Basavanagudi,Bangalore,Creams & Bites,200,5,20,Ice Cream,Basavanagudi,50
8013,321831,Matunga,Mumbai,99 Pankcakes,300,4.1,50,Desserts  Beverages  Pizzas,Matunga Wadala,56
8014,321962,Lake Town,Kolkata,Kusum'S Kitchen,400,3.4,20,Indian,Lake Town,76
8015,321967,Rohini,Delhi,Cake.Com,250,2.9,80,"Desserts,Bakery",Rohini,37
8016,322179,Ashok Nagar,Bangalore,Bowlss Of Bliss,150,2.9,80,"Ice Cream,Healthy Food,American,Desserts,Beverages,Keto",Shantinagar,38
8017,322203,Chembur,Mumbai,Manis Cafe,200,4.5,1000,South Indian,Chembur,46
8018,322309,Rohini,Delhi,Kayansh Foods,250,2.9,80,"North Indian,Thalis,Combo",Rohini,40
8019,322877,Ghatkopar East,Mumbai,Sunil Sandwich And Gaurav Juice Centre,200,4.3,50,Fast Food,Ghatkopar Vikhroli,47
8020,323244,Santacruz East,Mumbai,Fast Food Corner By Tejal'S Kitchen,400,2.9,80,"Fast Food,Continental",Next To Raj Auto Garageyashwant Nagar Kalina,51
8021,323298,Ashok Nagar,Bangalore,Cold Stone Creamery,200,4,50,"Ice Cream,Desserts,Beverages",Garuda Mall,48
8022,323332,Sanjay Nagar,Surat,Hotel Shyam,200,3.7,50,"Punjabi,Rajasthani,Gujarati,Thalis,Chinese,Home Food,Desserts,Sweets,Snacks,Indian,North Indian,Beverages",Parvat Patiya,48
8023,324194,Santacruz East,Mumbai,Tejal'S Kitchen,400,4.4,500,"Gujarati,Rajasthani,Jain",Next To Raj Auto Garageyashwant Nagar Kalina,49
8024,324199,Bidhannagar,Kolkata,Tiffin Express,200,4,50,Indian,Salt Lake,77
8025,324615,East Kolkata Township,Kolkata,Snack Shack By Chatar Patar,200,4.4,500,"Snacks,Chaat,Fast Food,Cafe,Beverages,Pastas,Indian,Healthy Food",Ruby Area,76
8026,325490,Anna Nagar West,Chennai,Dessert Addiction,299,4.4,100,"Desserts,Ice Cream",Annanagar,65
8027,326125,Jayanagar,Bangalore,Davanagere Benne Dose,120,4.1,100,South Indian,4Th Block Jayanagar,49
8028,326266,Kalyan Nagar X Roads,Hyderabad,Gelatica Gelato - Ice Cream & Sorbet The Finest,200,4.5,50,Ice Cream  Desserts,Ameerpet,71
8029,326404,Mitul Square Piplod,Surat,Bake Master,200,3.8,100,"Pizzas,American,Italian,Fast Food,Snacks",Vesu,60
8030,327732,Shankarapura,Bangalore,Foodism.In,300,2.9,80,"Home Food,North Indian,Biryani,Thalis,Beverages,Chinese,Healthy Food,Indian,Combo",Basavanagudi,49
8031,327847,Navrangpura,Ahmedabad,Nic Natural Ice Creams,120,4.6,500,"Ice Cream,Desserts",Navrangpura,30
8032,328134,Santacruz East,Mumbai,Sandwizzaa,250,4.6,500,Fast Food,Scruz Bandra East,31
8033,328148,Gurukul,Ahmedabad,Sandwich Boxx,250,3.7,20,"Street Food,Fast Food",Vastrapur,50
8034,328323,Malleshwaram,Bangalore,Swathi Restaurant,300,4.3,20,Indian,Sheshadripuram,52
8035,329070,Abids,Hyderabad,Kamath Hotel,200,4.4,500,South Indian,Abids & Koti,29
8036,329353,Khokhra,Ahmedabad,Kolhapuri Missal Pav,200,2.9,80,"Maharashtrian,South Indian,Fast Food",Maninagar,50
8037,329598,Tiljala,Kolkata,Phuchka King,100,3,20,Chaat,Ruby Area,79
8038,329704,Egmore,Chennai,Sandwich Town,200,2.9,80,Snacks,Egmore,39
8039,329710,Egmore,Chennai,Thickshake Town,200,2.9,80,Juices,Egmore,38
8040,329847,Kodambakkam,Chennai,Mahaganapathy Cafe,200,4.3,1000,"Indian,Chinese,South Indian",Kodambakkam,75
8041,331126,Lake Town,Kolkata,Rasoi Jalpan,200,4.4,50,Indian,Lake Town,71
8042,331889,Maninagar,Ahmedabad,Pizza Gram,200,2.9,80,"Pizzas,Indian",Maninagar,48
8043,332460,Ashok Nagar,Bangalore,Happy Buddha,450,2.9,80,"Chinese,Oriental",Central Bangalore,46
8044,332709,Piplod,Surat,Followers Food Factory-F3,200,2.9,80,"Snacks,Chinese,Continental",Piplod,39
8045,333038,Topsia,Kolkata,Cake N Cooki,300,2.9,80,Bakery,Tangra,78
8046,334023,Ellisbridge,Ahmedabad,Danny'S Coffee Bar,500,3.6,20,Fast Food,Navrangpura,35
